antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'area'}),frozenset({'bbc'}),0.04430379746835443,0.0949367088607595,0.03164556962025317,0.7142857142857143,7.523809523809524,1.0,0.027439512898573947,3.1677215189873418,0.9072847682119205,0.2941176470588235,0.6843156843156845,0.5238095238095238
frozenset({'area'}),frozenset({'beauty'}),0.04430379746835443,0.08860759493670886,0.03164556962025317,0.7142857142857143,8.061224489795919,1.0,0.02771991668001923,3.189873417721519,0.9165562913907285,0.31250000000000006,0.6865079365079365,0.5357142857142857
frozenset({'area'}),frozenset({'earth'}),0.04430379746835443,0.11392405063291139,0.0379746835443038,0.8571428571428572,7.523809523809525,1.0,0.03292741547828874,6.202531645569623,0.9072847682119205,0.3157894736842105,0.8387755102040817,0.5952380952380953
frozenset({'area'}),frozenset({'nature'}),0.04430379746835443,0.25949367088607594,0.03164556962025317,0.7142857142857143,2.7526132404181185,1.0,0.02014901458099664,2.5917721518987342,0.666225165562914,0.11627906976744186,0.6141636141636142,0.4181184668989547
frozenset({'area'}),frozenset({'planet'}),0.04430379746835443,0.08860759493670886,0.03164556962025317,0.7142857142857143,8.061224489795919,1.0,0.02771991668001923,3.189873417721519,0.9165562913907285,0.31250000000000006,0.6865079365079365,0.5357142857142857
frozenset({'secret'}),frozenset({'area'}),0.04430379746835443,0.04430379746835443,0.03164556962025317,0.7142857142857143,16.122448979591837,1.0,0.0296827431501362,3.3449367088607596,0.9814569536423842,0.5555555555555556,0.7010406811731316,0.7142857142857143
frozenset({'area'}),frozenset({'secret'}),0.04430379746835443,0.04430379746835443,0.03164556962025317,0.7142857142857143,16.122448979591837,1.0,0.0296827431501362,3.3449367088607596,0.9814569536423842,0.5555555555555556,0.7010406811731316,0.7142857142857143
frozenset({'area'}),frozenset({'untouched'}),0.04430379746835443,0.08860759493670886,0.04430379746835443,1.0,11.285714285714286,1.0,0.040378144528120496,inf,0.9536423841059603,0.5000000000000001,1.0,0.75
frozenset({'earth'}),frozenset({'bbc'}),0.11392405063291139,0.0949367088607595,0.06962025316455696,0.611111111111111,6.437037037037036,1.0,0.05880467873738183,2.3273056057866177,0.9532467532467532,0.4999999999999999,0.5703185703185704,0.6722222222222222
frozenset({'bbc'}),frozenset({'earth'}),0.0949367088607595,0.11392405063291139,0.06962025316455696,0.7333333333333333,6.437037037037037,1.0,0.05880467873738183,3.322784810126582,0.9332485696122061,0.4999999999999999,0.6990476190476189,0.6722222222222222
frozenset({'stunning'}),frozenset({'bbc'}),0.06329113924050633,0.0949367088607595,0.04430379746835443,0.7,7.373333333333332,1.0,0.03829514500881269,3.016877637130801,0.9227799227799228,0.38888888888888884,0.6685314685314685,0.5833333333333333
frozenset({'journey'}),frozenset({'beauty'}),0.0379746835443038,0.08860759493670886,0.0379746835443038,1.0,11.285714285714286,1.0,0.03460983816696042,inf,0.9473684210526315,0.4285714285714286,1.0,0.7142857142857143
frozenset({'beauty'}),frozenset({'nature'}),0.08860759493670886,0.25949367088607594,0.06329113924050633,0.7142857142857143,2.7526132404181185,1.0,0.04029802916199328,2.5917721518987342,0.6986111111111112,0.22222222222222227,0.6141636141636142,0.47909407665505227
frozenset({'secret'}),frozenset({'beauty'}),0.04430379746835443,0.08860759493670886,0.03164556962025317,0.7142857142857143,8.061224489795919,1.0,0.02771991668001923,3.189873417721519,0.9165562913907285,0.31250000000000006,0.6865079365079365,0.5357142857142857
frozenset({'corner'}),frozenset({'planet'}),0.03164556962025317,0.08860759493670886,0.03164556962025317,1.0,11.285714285714286,1.0,0.028841531805800354,inf,0.9411764705882352,0.35714285714285715,1.0,0.6785714285714286
frozenset({'corner'}),frozenset({'untouched'}),0.03164556962025317,0.08860759493670886,0.03164556962025317,1.0,11.285714285714286,1.0,0.028841531805800354,inf,0.9411764705882352,0.35714285714285715,1.0,0.6785714285714286
frozenset({'hidden'}),frozenset({'earth'}),0.06329113924050633,0.11392405063291139,0.04430379746835443,0.7,6.144444444444444,1.0,0.037093414516904344,2.9535864978902953,0.8938223938223939,0.33333333333333337,0.6614285714285714,0.5444444444444444
frozenset({'incredible'}),frozenset({'earth'}),0.04430379746835443,0.11392405063291139,0.03164556962025317,0.7142857142857143,6.26984126984127,1.0,0.026598301554238105,3.1012658227848107,0.8794701986754967,0.25,0.6775510204081632,0.49603174603174605
frozenset({'journey'}),frozenset({'earth'}),0.0379746835443038,0.11392405063291139,0.0379746835443038,1.0,8.777777777777779,1.0,0.03364845377343374,inf,0.9210526315789473,0.33333333333333337,1.0,0.6666666666666667
frozenset({'secret'}),frozenset({'earth'}),0.04430379746835443,0.11392405063291139,0.03164556962025317,0.7142857142857143,6.26984126984127,1.0,0.026598301554238105,3.1012658227848107,0.8794701986754967,0.25,0.6775510204081632,0.49603174603174605
