antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'hidden', 'planet'})","frozenset({'corner', 'untouched'})",0.03164556962025317,0.03164556962025317,0.02531645569620253,0.7999999999999999,25.279999999999998,1.0,0.02431501361961224,4.8417721518987324,0.991830065359477,0.6666666666666665,0.7934640522875815,0.7999999999999999
frozenset({'corner'}),"frozenset({'hidden', 'untouched', 'planet'})",0.03164556962025317,0.03164556962025317,0.02531645569620253,0.7999999999999999,25.279999999999998,1.0,0.02431501361961224,4.8417721518987324,0.991830065359477,0.6666666666666665,0.7934640522875815,0.7999999999999999
"frozenset({'corner', 'human', 'untouched'})",frozenset({'planet'}),0.02531645569620253,0.08860759493670886,0.02531645569620253,1.0,11.285714285714286,1.0,0.023073225444640282,inf,0.935064935064935,0.2857142857142857,1.0,0.6428571428571428
"frozenset({'corner', 'human', 'planet'})",frozenset({'untouched'}),0.02531645569620253,0.08860759493670886,0.02531645569620253,1.0,11.285714285714286,1.0,0.023073225444640282,inf,0.935064935064935,0.2857142857142857,1.0,0.6428571428571428
"frozenset({'corner', 'planet', 'untouched'})",frozenset({'human'}),0.03164556962025317,0.0759493670886076,0.02531645569620253,0.7999999999999999,10.533333333333331,1.0,0.022912994712385837,4.620253164556961,0.934640522875817,0.30769230769230765,0.7835616438356163,0.5666666666666667
"frozenset({'human', 'untouched', 'planet'})",frozenset({'corner'}),0.02531645569620253,0.03164556962025317,0.02531645569620253,1.0,31.599999999999998,1.0,0.024515302034930297,inf,0.9935064935064934,0.7999999999999999,1.0,0.8999999999999999
"frozenset({'corner', 'human'})","frozenset({'planet', 'untouched'})",0.02531645569620253,0.05063291139240506,0.02531645569620253,1.0,19.75,1.0,0.02403460983816696,inf,0.974025974025974,0.49999999999999994,1.0,0.75
"frozenset({'corner', 'untouched'})","frozenset({'human', 'planet'})",0.03164556962025317,0.02531645569620253,0.02531645569620253,0.7999999999999999,31.599999999999998,1.0,0.024515302034930297,4.873417721518986,0.9999999999999999,0.7999999999999999,0.7948051948051947,0.8999999999999999
"frozenset({'corner', 'planet'})","frozenset({'human', 'untouched'})",0.03164556962025317,0.0379746835443038,0.02531645569620253,0.7999999999999999,21.066666666666663,1.0,0.024114725204294182,4.810126582278479,0.9836601307189542,0.5714285714285713,0.7921052631578946,0.7333333333333333
"frozenset({'human', 'untouched'})","frozenset({'corner', 'planet'})",0.0379746835443038,0.03164556962025317,0.02531645569620253,0.6666666666666666,21.066666666666663,1.0,0.024114725204294182,2.9050632911392404,0.9901315789473684,0.5714285714285713,0.6557734204793026,0.7333333333333333
"frozenset({'human', 'planet'})","frozenset({'corner', 'untouched'})",0.02531645569620253,0.03164556962025317,0.02531645569620253,1.0,31.599999999999998,1.0,0.024515302034930297,inf,0.9935064935064934,0.7999999999999999,1.0,0.8999999999999999
frozenset({'corner'}),"frozenset({'human', 'untouched', 'planet'})",0.03164556962025317,0.02531645569620253,0.02531645569620253,0.7999999999999999,31.599999999999998,1.0,0.024515302034930297,4.873417721518986,0.9999999999999999,0.7999999999999999,0.7948051948051947,0.8999999999999999
"frozenset({'nature', 'corner', 'planet'})",frozenset({'untouched'}),0.02531645569620253,0.08860759493670886,0.02531645569620253,1.0,11.285714285714286,1.0,0.023073225444640282,inf,0.935064935064935,0.2857142857142857,1.0,0.6428571428571428
"frozenset({'nature', 'corner', 'untouched'})",frozenset({'planet'}),0.02531645569620253,0.08860759493670886,0.02531645569620253,1.0,11.285714285714286,1.0,0.023073225444640282,inf,0.935064935064935,0.2857142857142857,1.0,0.6428571428571428
"frozenset({'nature', 'untouched', 'planet'})",frozenset({'corner'}),0.0379746835443038,0.03164556962025317,0.02531645569620253,0.6666666666666666,21.066666666666663,1.0,0.024114725204294182,2.9050632911392404,0.9901315789473684,0.5714285714285713,0.6557734204793026,0.7333333333333333
"frozenset({'corner', 'untouched', 'planet'})",frozenset({'nature'}),0.03164556962025317,0.25949367088607594,0.02531645569620253,0.7999999999999999,3.0829268292682923,1.0,0.017104630668162153,3.7025316455696187,0.6977124183006536,0.09523809523809525,0.72991452991453,0.448780487804878
"frozenset({'nature', 'corner'})","frozenset({'untouched', 'planet'})",0.02531645569620253,0.05063291139240506,0.02531645569620253,1.0,19.75,1.0,0.02403460983816696,inf,0.974025974025974,0.49999999999999994,1.0,0.75
"frozenset({'corner', 'planet'})","frozenset({'nature', 'untouched'})",0.03164556962025317,0.06329113924050633,0.02531645569620253,0.7999999999999999,12.639999999999999,1.0,0.023313571543021952,4.683544303797467,0.9509803921568627,0.3636363636363636,0.7864864864864864,0.6
"frozenset({'corner', 'untouched'})","frozenset({'nature', 'planet'})",0.03164556962025317,0.04430379746835443,0.02531645569620253,0.7999999999999999,18.057142857142857,1.0,0.023914436788976125,4.778481012658226,0.9754901960784312,0.49999999999999994,0.790728476821192,0.6857142857142857
frozenset({'corner'}),"frozenset({'nature', 'untouched', 'planet'})",0.03164556962025317,0.0379746835443038,0.02531645569620253,0.7999999999999999,21.066666666666663,1.0,0.024114725204294182,4.810126582278479,0.9836601307189542,0.5714285714285713,0.7921052631578946,0.7333333333333333
"frozenset({'gem', 'earth', 'hidden'})",frozenset({'nature'}),0.02531645569620253,0.25949367088607594,0.02531645569620253,1.0,3.8536585365853657,1.0,0.01874699567377023,inf,0.7597402597402597,0.0975609756097561,1.0,0.5487804878048781
"frozenset({'gem', 'earth', 'nature'})",frozenset({'hidden'}),0.02531645569620253,0.06329113924050633,0.02531645569620253,1.0,15.799999999999999,1.0,0.023714148373658067,inf,0.961038961038961,0.39999999999999997,1.0,0.7
"frozenset({'gem', 'hidden', 'nature'})",frozenset({'earth'}),0.02531645569620253,0.11392405063291139,0.02531645569620253,1.0,8.777777777777779,1.0,0.022432302515622497,inf,0.9090909090909092,0.22222222222222224,1.0,0.6111111111111112
"frozenset({'gem', 'earth'})","frozenset({'nature', 'hidden'})",0.02531645569620253,0.05063291139240506,0.02531645569620253,1.0,19.75,1.0,0.02403460983816696,inf,0.974025974025974,0.49999999999999994,1.0,0.75
