Keyword,TF-IDF Score
video,11.01382323
nature,10.86298024
like,7.760456454
wow,6.740012477
nice,5.743847792
beautiful,5.658208272
animal,5.379950412
earth,5.23373931
good,4.603008804
love,4.512822927
thank,4.348087277
bbc,4.308672837
untouched,3.861324355
bear,3.736582335
hyena,3.512548937
